PSEUDO_DEPTH,TEMP       ,CALI       ,GR         ,ILD        ,NPHI       ,RHOB       ,DT         ,TVD        ,TVDSS      ,VCL        ,PHIE       ,PHIT       ,SW         ,EF,PERFOS     ,RES_ID,WELL_ID,X,Y,HACKANAME
2157.43,90.06,9.78,66.12,2.2596,0.2244,2.2489,104.76,1668.27,1646.27,0.5233,0.113,0.2726,0.6267,5,0,3005,210075859,15,20,B03
2157.59,90.06,9.48,63.61,2.4538,0.2125,2.2694,109.63,1668.42,1646.42,0.471,0.1144,0.2581,0.6188,5,0,3005,210075859,15,20,B03
2157.74,90.07,9.4,58.89,2.6071,0.1803,2.283,114.46,1668.56,1646.56,0.3727,0.1246,0.2383,0.6316,2,0,3005,210075859,15,20,B03
2157.89,90.07,9.51,53.73,2.7062,0.145,2.283,117.12,1668.71,1646.71,0.3524,0.076,0.1835,0.8082,3,0,3005,210075859,15,20,B03
2158.04,90.08,9.71,48.44,2.818,0.1188,2.2795,113.14,1668.86,1646.86,0.2579,0.0759,0.1546,0.9254,3,0,3005,210075859,15,20,B03
2158.2,90.08,9.84,49.46,2.9757,0.1154,2.2787,108.61,1669,1647,0.2761,0.0649,0.1492,0.9227,3,0,3005,210075859,15,20,B03
2158.35,90.09,9.9,51.8,3.1328,0.135,2.2786,105.52,1669.15,1647.15,0.3179,0.0777,0.1747,0.7569,3,0,3005,210075859,15,20,B03
2158.5,90.09,9.8,50.91,3.2351,0.1573,2.2835,93.78,1669.29,1647.29,0.302,0.1185,0.2107,0.6089,3,0,3005,210075859,15,20,B03
2158.65,90.1,9.67,47.58,3.2838,0.1786,2.2782,94.19,1669.44,1647.44,0.2425,0.1614,0.2354,0.5248,2,0,3005,210075859,15,20,B03
2158.8,90.11,9.55,44.26,3.3333,0.1912,2.2632,102.91,1669.59,1647.59,0.1832,0.1879,0.2438,0.4885,2,0,3005,210075859,15,20,B03
2158.96,90.11,9.5,41.88,3.5074,0.1794,2.2622,112.03,1669.73,1647.73,0.1407,0.1958,0.2387,0.4761,2,0,3005,210075859,15,20,B03
2159.11,90.12,9.49,39.74,4.1253,0.1567,2.2709,117.27,1669.88,1647.88,0.1025,0.1944,0.2257,0.4537,2,0,2900,210075859,15,20,B03
2159.26,90.12,9.44,37.48,5.2057,0.1336,2.2665,123.78,1670.03,1648.03,0.0622,0.198,0.2169,0.4103,3,0,2900,210075859,15,20,B03
2159.41,90.13,9.39,35.11,7.2073,0.1301,2.2516,115.67,1670.17,1648.17,0.0199,0.2137,0.2198,0.3377,2,0,2900,210075859,15,20,B03
2160.63,90.17,9.54,36.38,11.9813,0.0956,2.1295,116.62,1671.35,1649.35,0.0424,0.1518,0.1647,0.3444,1,0,2900,210075859,15,20,B03
2160.79,90.17,9.55,39.2,9.9684,0.1031,2.1371,123.06,1671.49,1649.49,0.0929,0.1398,0.1682,0.3683,1,0,2900,210075859,15,20,B03
2160.94,90.18,9.45,42.01,8.4854,0.1231,2.1482,119.51,1671.64,1649.64,0.1431,0.1492,0.1928,0.3508,1,0,2900,210075859,15,20,B03
2161.09,90.18,9.36,42.39,7.5988,0.1424,2.1621,118.4,1671.79,1649.79,0.1499,0.1774,0.2232,0.3254,1,0,2900,210075859,15,20,B03
2161.24,90.19,9.33,41.18,6.9684,0.1525,2.1798,117.08,1671.93,1649.93,0.1283,0.202,0.2412,0.3172,2,0,2900,210075859,15,20,B03
2161.4,90.19,9.3,39.63,6.5096,0.147,2.2094,115.54,1672.08,1650.08,0.1006,0.2032,0.2339,0.3392,2,0,2900,210075859,15,20,B03
2161.55,90.2,9.29,38.4,6.1736,0.1375,2.244,118.17,1672.22,1650.22,0.0786,0.2038,0.2278,0.3574,2,0,2900,210075859,15,20,B03
2161.7,90.21,9.29,37.63,6.0478,0.13,2.2786,115.72,1672.37,1650.37,0.0648,0.154,0.1738,0.4746,3,0,2900,210075859,15,20,B03
2161.85,90.21,9.31,37.08,6.0936,0.122,2.3004,110.18,1672.52,1650.52,0.0549,0.1484,0.1651,0.4963,3,0,2900,210075859,15,20,B03
2162.01,90.22,9.34,36.91,6.1593,0.1164,2.3094,107.6,1672.66,1650.66,0.052,0.1431,0.159,0.5123,3,0,2900,210075859,15,20,B03
2162.16,90.22,9.4,37.78,6.1468,0.1177,2.3056,101.64,1672.81,1650.81,0.0674,0.1743,0.1949,0.4187,3,0,2900,210075859,15,20,B03
2162.31,90.23,9.46,39.55,5.9408,0.1257,2.2948,94.95,1672.96,1650.96,0.0991,0.1732,0.2034,0.4114,3,0,2900,210075859,15,20,B03
2162.46,90.23,9.56,41.48,5.5994,0.1322,2.2872,91.15,1673.1,1651.1,0.1336,0.1694,0.2102,0.4144,3,0,2900,210075859,15,20,B03
2162.61,90.24,9.69,43.35,5.123,0.1372,2.293,96,1673.25,1651.25,0.1671,0.1599,0.2109,0.438,3,0,2900,210075859,15,20,B03
2162.77,90.24,9.83,45.13,4.7292,0.1433,2.2966,96.06,1673.4,1651.4,0.1988,0.1523,0.213,0.4581,3,0,2900,210075859,15,20,B03
2162.92,90.25,9.96,46.89,4.3664,0.1497,2.3029,101.53,1673.54,1651.54,0.2301,0.1437,0.214,0.4824,3,0,2900,210075859,15,20,B03
2163.07,90.25,10.06,48.3,4.0124,0.1528,2.3121,103.95,1673.69,1651.69,0.2554,0.1343,0.2122,0.5166,3,0,2900,210075859,15,20,B03
2163.22,90.26,10,48.3,3.7031,0.1543,2.3343,103.37,1673.84,1651.84,0.2554,0.1261,0.2041,0.568,3,0,2900,210075859,15,20,B03
2163.38,90.26,9.88,47.68,3.4583,0.1528,2.361,103.18,1673.98,1651.98,0.2443,0.1183,0.1928,0.6298,3,0,2900,210075859,15,20,B03
2163.53,90.27,9.87,46.96,3.2718,0.1481,2.3599,96.12,1674.13,1652.13,0.2314,0.1205,0.1911,0.657,3,0,2900,210075859,15,20,B03
2163.68,90.27,9.96,45.94,3.1945,0.1423,2.3492,92.84,1674.28,1652.28,0.2133,0.1273,0.1924,0.6573,3,0,2900,210075859,15,20,B03
2163.83,90.28,10.04,44.6,3.1998,0.1402,2.3473,94.54,1674.42,1652.42,0.1894,0.134,0.1918,0.6515,3,0,2900,210075859,15,20,B03
2163.99,90.28,10.07,43.21,3.2273,0.1426,2.3586,95.25,1674.57,1652.57,0.1644,0.1377,0.1879,0.6542,3,0,2900,210075859,15,20,B03
2164.14,90.29,10.12,42.05,3.2567,0.1425,2.3658,97.19,1674.72,1652.72,0.1437,0.1407,0.1845,0.6555,3,0,2900,210075859,15,20,B03
2164.29,90.3,10.15,41.67,3.2861,0.1392,2.3745,99.79,1674.86,1652.86,0.1369,0.1379,0.1797,0.6684,3,0,2900,210075859,15,20,B03
2164.44,90.3,10.07,41.48,3.3155,0.138,2.386,98.83,1675.01,1653.01,0.1336,0.1341,0.1748,0.6837,3,0,2900,210075859,15,20,B03
2164.6,90.31,9.91,41.31,3.362,0.1415,2.3819,100.15,1675.15,1653.15,0.1305,0.1379,0.1777,0.665,3,0,2900,210075859,15,20,B03
2164.75,90.31,9.75,41.59,3.4927,0.1443,2.3506,93.21,1675.3,1653.3,0.1356,0.1494,0.1908,0.6042,3,0,2900,210075859,15,20,B03
2164.9,90.32,9.61,42.08,3.6246,0.1476,2.2908,86.97,1675.45,1653.45,0.1443,0.1716,0.2156,0.5212,3,0,2900,210075859,15,20,B03
2165.05,90.32,9.54,42.61,3.7834,0.1531,2.2232,81.54,1675.59,1653.59,0.1537,0.1795,0.2265,0.4846,2,0,2900,210075859,15,20,B03
2165.21,90.33,9.56,43.14,3.9857,0.1578,2.1754,79.84,1675.74,1653.74,0.1632,0.1849,0.2347,0.4543,2,0,2900,210075859,15,20,B03
2165.36,90.33,9.6,43.67,4.2237,0.16,2.1481,82.71,1675.89,1653.89,0.1727,0.1846,0.2373,0.4354,1,0,2900,210075859,15,20,B03
2165.51,90.34,9.63,44.2,4.4673,0.1584,2.1615,91.48,1676.03,1654.03,0.1821,0.1802,0.2358,0.425,1,0,2900,210075859,15,20,B03
2165.66,90.34,9.55,44.6,4.711,0.154,2.2029,100.25,1676.18,1654.18,0.1892,0.1705,0.2282,0.4265,2,0,2900,210075859,15,20,B03
2165.82,90.35,9.48,44.68,4.9768,0.1486,2.2129,109.02,1676.33,1654.33,0.1908,0.162,0.2202,0.4279,2,0,2900,210075859,15,20,B03
2165.97,90.35,9.44,44.55,5.3625,0.1422,2.168,117.74,1676.47,1654.47,0.1884,0.1535,0.2109,0.4267,2,0,2900,210075859,15,20,B03
2166.12,90.36,9.41,44.32,5.8187,0.1397,2.0853,123.31,1676.62,1654.62,0.1842,0.1526,0.2089,0.4092,1,0,2900,210075859,15,20,B03
2166.27,90.36,9.4,43.57,6.3673,0.1409,2.0037,116.17,1676.77,1654.77,0.1709,0.162,0.2142,0.3771,1,0,2900,210075859,15,20,B03
2166.42,90.37,9.39,42.13,6.956,0.1374,1.9555,109.2,1676.91,1654.91,0.1451,0.169,0.2133,0.3588,1,0,2900,210075859,15,20,B03
2166.58,90.37,9.38,40.56,7.7178,0.1271,1.9388,110.74,1677.06,1655.06,0.1171,0.1659,0.2016,0.357,1,0,2900,210075859,15,20,B03
2166.73,90.38,9.38,39.09,8.7143,0.1205,1.9504,122.69,1677.21,1655.21,0.091,0.1681,0.1959,0.3431,1,0,2900,210075859,15,20,B03
2166.88,90.38,9.38,37.92,9.4185,0.1197,1.9765,134.6,1677.35,1655.35,0.0701,0.1769,0.1983,0.3251,1,0,2900,210075859,15,20,B03
2167.03,90.39,9.38,36.87,9.8036,0.1189,1.9939,144.4,1677.5,1655.5,0.0512,0.1844,0.2,0.316,1,0,2900,210075859,15,20,B03
2167.19,90.4,9.37,35.86,10.0463,0.1168,2.0089,145.43,1677.65,1655.65,0.0333,0.189,0.1991,0.3137,1,0,2900,210075859,15,20,B03
2167.34,90.4,9.37,35.09,10.245,0.1134,2.0184,145.96,1677.79,1655.79,0.0195,0.1896,0.1955,0.3164,1,0,2900,210075859,15,20,B03
2168.1,90.43,9.37,34.69,10.7126,0.1091,2.0318,138.18,1678.52,1656.52,0.0124,0.1859,0.1897,0.3189,1,0,2900,210075859,15,20,B03
2168.25,90.43,9.39,35.22,10.7223,0.1098,2.0384,139.72,1678.67,1656.67,0.0218,0.1829,0.1896,0.3186,1,0,2900,210075859,15,20,B03
