PSEUDO_DEPTH;TEMP       ;CALI       ;GR         ;ILD        ;NPHI       ;RHOB       ;DT         ;TVD        ;TVDSS      ;VCL        ;PHIE       ;PHIT       ;SW         ;EF;PERFOS     ;RES_ID;WELL_ID;X;Y;HACKANAME
2339.4;94.75;12.6024;37.83;4.2988;0.2309;2.1393;113.18;1728.27;1701.07;0.0971;0.2479;0.2706;0.2476;1;0;2900;790429659;6;4;B0700
2339.55;94.75;12.6733;37.62;4.466;0.2262;2.1449;112.44;1728.32;1701.12;0.0936;0.2442;0.2661;0.2467;1;0;2900;790429659;6;4;B0700
2339.7;94.75;12.667;38.03;4.5885;0.2217;2.158;115.71;1728.38;1701.18;0.1006;0.2371;0.2606;0.2488;1;0;2900;790429659;6;4;B0700
2339.86;94.76;12.6023;37.75;4.5475;0.2143;2.172;120.2;1728.43;1701.23;0.0958;0.2309;0.2533;0.2571;1;0;2900;790429659;6;4;B0700
2340.01;94.76;12.5626;37.77;4.3532;0.2054;2.1778;116.76;1728.48;1701.28;0.0962;0.2214;0.244;0.2735;1;0;2900;790429659;6;4;B0700
2340.16;94.76;12.5342;38.22;4.1226;0.1986;2.1776;104.19;1728.53;1701.33;0.1036;0.2117;0.236;0.292;1;0;2900;790429659;6;4;B0700
2340.31;94.76;12.4877;38.36;3.9358;0.2002;2.1834;98.71;1728.59;1701.39;0.1061;0.2126;0.2374;0.2978;1;0;2900;790429659;6;4;B0700
2340.47;94.77;12.4985;37.48;3.8698;0.2071;2.2004;98.68;1728.64;1701.44;0.0914;0.2249;0.2463;0.288;1;0;2900;790429659;6;4;B0700
2340.62;94.77;12.5956;36.65;3.9198;0.2131;2.2172;98.67;1728.69;1701.49;0.0775;0.2423;0.2604;0.2689;2;0;2900;790429659;6;4;B0700
2340.77;94.77;12.6656;36.8;4.0208;0.2181;2.2235;99.97;1728.74;1701.54;0.08;0.2408;0.2595;0.2665;2;0;2900;790429659;6;4;B0700
2340.92;94.77;12.6621;39.05;4.1159;0.2259;2.2235;103.43;1728.8;1701.6;0.1176;0.235;0.2625;0.2629;2;0;2900;790429659;6;4;B0700
2341.08;94.77;12.6394;42.05;4.2079;0.2429;2.2258;106.3;1728.85;1701.65;0.1675;0.2283;0.2675;0.2579;2;0;2900;790429659;6;4;B0700
2341.23;94.78;12.6379;44.14;4.3535;0.2562;2.2259;107.8;1728.9;1701.7;0.2023;0.2245;0.2718;0.2506;2;0;2900;790429659;6;4;B0700
2341.38;94.78;12.6204;44.31;4.4589;0.2646;2.2176;109.07;1728.95;1701.75;0.2051;0.2298;0.2778;0.2419;1;0;2900;790429659;6;4;B0700
2341.53;94.78;12.6308;43.96;4.4194;0.2682;2.2088;109.09;1729.01;1701.81;0.1993;0.2358;0.2825;0.2387;1;0;2900;790429659;6;4;B0700
2341.68;94.78;12.6997;43.74;4.3344;0.277;2.217;107.73;1729.06;1701.86;0.1957;0.2357;0.2814;0.242;2;0;2900;790429659;6;4;B0700
2341.84;94.78;12.7673;45.18;4.2573;0.2883;2.2453;106.3;1729.11;1701.91;0.2197;0.2217;0.2731;0.2535;2;0;2900;790429659;6;4;B0700
2341.99;94.79;12.7773;47.62;4.1747;0.2976;2.2655;107.34;1729.17;1701.97;0.2603;0.2083;0.2692;0.2623;2;0;2900;790429659;6;4;B0700
2342.14;94.79;12.7744;49.78;4.1835;0.3056;2.2498;111.96;1729.22;1702.02;0.2964;0.2069;0.2762;0.2565;2;0;2900;790429659;6;4;B0700
2342.29;94.79;12.7328;50.55;4.3722;0.3063;2.2053;117.82;1729.27;1702.07;0.3091;0.2233;0.2956;0.2331;1;0;2900;790429659;6;4;B0700
2342.45;94.79;12.682;49.61;4.6308;0.2983;2.1698;121.52;1729.32;1702.12;0.2935;0.2403;0.3089;0.2147;1;0;2900;790429659;6;4;B0700
2342.6;94.8;12.7031;48.36;4.7746;0.2897;2.1613;122.24;1729.38;1702.18;0.2727;0.2462;0.31;0.2096;1;0;2900;790429659;6;4;B0700
2342.75;94.8;12.7551;46.23;4.5736;0.2848;2.163;121.23;1729.43;1702.23;0.2372;0.2517;0.3072;0.2159;1;0;2900;790429659;6;4;B0700
